surface,letters,count,kind,reusable,seen_in,example_clue,example_answer
scowls,LOURS,1,synonym,yes,20260630-4D,Old man scowls after initially referencing <i>Chambers</i>,PARLOURS
scrap,SPARK,1,synonym,yes,20260717-7D,Book digests just scrap source of many ideas,BRIGHTSPARK
scream,CRY,1,synonym,yes,20260718-15D,Scream about husband I punish for deceitfulness,CHICANERY
searches,TRAWLS,1,synonym,yes,20260717-28A,Firm searches packaging at counter,STALWART
second,MOMENT,1,synonym,yes,20260713-19A,Drive in second? Er …,MOMENTUM
second-hand,USED,1,synonym,yes,20260704-3D,"Came by omnibus book, second-hand",BUSED
secretary,PA,1,abbreviation,yes,20260720-21A,Secretary bird keeps losing a lot of eggs,SPAWN
secure,WIN,1,synonym,yes,20260715-17A,Last of smoke swirling around secure kitchen appliance,TWINTUB
see,DATE,1,synonym,yes,20260724-12A,See one box splits quite apart,DISPARATE
segment of flight,STAIR,1,synonym,yes,20260702-27A,Move segment of flight to avoid America,STIR
selects,S,1,other,yes,20260703-10A,One who’s fetching display firstly selects the frames,SEXPOT
senior adviser,ELDER,1,synonym,yes,20260710-22D,Unionist who might make sparks fly with senior adviser,WELDER
serious,STAID,1,synonym,yes,20260704-18D,Tree underpinned by serious immediate treatment,FIRSTAID
serviceman,REGULAR,1,synonym,yes,20260702-4D,Irish serviceman not meeting expected standards,IRREGULAR
setter,GEL,1,synonym,yes,20260714-13D,"Setter penning Listener, although missing last piece of mechanism",GEARWHEEL
setter’s,IM,1,other,yes,20260723-21D,Red setter’s about to move towards guards,COMMIE
settlements,SS,1,other,yes,20260711-2D,Draw line between Florence and those surrounding settlements,FLOSS
seventeenth-century bible,AV,1,abbreviation,yes,20260701-14A,Psalmist prepared seventeenth-century bible lines,DAVID
ship,SS,1,abbreviation,yes,20260722-18A,Crew on board ship cooks,STEAMS
shortly,ANON,1,synonym,yes,20260629-6D,Valiant maiden shortly embraces warrior king,AGAMEMNON
shot,NIP,1,synonym,yes,20260703-3D,"Begrudge supporting old leader of mafia shot here, there and everywhere",OMNIPRESENT
shot animals,GAME,1,synonym,yes,20260714-24A,"Next to empty temple, shot animals for egg cell?",GAMETE
shouting,YELLING,1,synonym,yes,20260718-28A,Shouting around old wife visibly ageing,YELLOWING
show,DEMO,1,synonym,yes,20260702-24A,"Carefree on leaving show, one of seven heading for better parts",DEMOBHAPPY
shower,RAIN,1,synonym,yes,20260711-22D,Shower beneath grand timber structure,GRAIN
showing,ON,1,synonym,yes,20260724-17A,"Grafter losing in photo finish for medals, pressure showing",PLASTICSURGEON
sibling,SIS,1,abbreviation,yes,20260707-1D,Sibling contracted in MI6,SIS
sides,R,1,single-letter,no,20260711-4D,Very friendly con swapping sides for rematch,THICK
sierra,S,1,nato,yes,20260717-1D,Parties of amateur mapmakers hiked up sierra,SOCIALS
sign,LEO,1,other,yes,20260701-8D,New sign put up when Santa comes,NOEL
silk,KC,1,abbreviation,yes,20260629-18D,"US writer, dear, popular, regularly wears silk",KEROUAC
since,AS,1,synonym,yes,20260703-8D,"Since pinching copy, regret mounts up",ACCRUES
singleton,S,1,other,yes,20260710-12A,Fall with Valerie for Singleton’s first procession,CAVALCADE
skips about,SCAMPERS,1,synonym,yes,20260630-17A,Skips about naked in motor home,CAMPER
slab,TILE,1,synonym,yes,20260717-20D,Wood slab propped up in hearthside glow,FIRELIT
slag off,DIS,1,synonym,yes,20260714-19A,"In denial, slag off A & E loudly, perhaps",DISAVOWAL
slope,RAMP,1,synonym,yes,20260701-1D,Building problem — slope flanking siding unstable,RISINGDAMP
smallest thing,ATOMIC,1,synonym,yes,20260717-14D,Corporal’s obsessive checking of smallest thing,ANATOMICAL
smooth,RUB,1,synonym,yes,20260716-19D,Stream smooth computer image,RUBICON
smut,GRIME,1,synonym,yes,20260714-23A,Unpleasant smut curtailed,GRIM
snatch,GRAB,1,synonym,yes,20260629-9A,Family snatch cold cuts and seafood,KINGCRAB
so,VERY,1,synonym,yes,20260722-20A,"Finally free, so all possible",EVERY
soccer team,SIX,1,other,yes,20260715-4D,More than half of soccer team aboard vehicle upset left-winger,MARXIST
society,S,1,abbreviation,yes,20260702-3A,"Taken aback, coughed up Chinese university society fine",DIAPHANOUS
soldiers,OR,1,abbreviation,yes,20260708-18D,Person choosing to have 100 plus soldiers promoted for protection,CORSELET
solid shape,CONE,1,synonym,yes,20260721-4A,Put together solid shape outside domestic residence,CONFLATE
somebody,ONE,1,synonym,yes,20260724-10A,Lolly somebody coated with crumbs!,MONEY
sometimes called,AKA,1,abbreviation,yes,20260714-17A,Democrat sometimes called Republican in west coast city,DAKAR
somewhat,ISH,1,other,yes,20260708-4D,Weird light has somewhat visible border?,OUTLANDISH
song,LIED,1,synonym,yes,20260720-16D,Uninhibited live artist close to limit in song,LIBERATED
sounds,PLUMBS,1,synonym,yes,20260710-24D,These are very desirable vocal sounds,PLUMS
south american,SA,1,abbreviation,yes,20260720-1D,Fine area outside South American city,OSAKA
southern,S,1,single-letter,yes,20260710-17D,Airborne pest miles over southern capital,MOSQUITO
space,E,1,other,yes,20260701-1A,"At last, floor space charge generates profit",REWARD
space,GREEN,1,synonym,yes,20260714-22A,Where one might find Jack bragging about space that one’s left,CROWNGREEN
spies,CIA,1,abbreviation,yes,20260706-24A,Spies in constant control endlessly essential,CRUCIAL
spot,SEE,1,synonym,yes,20260706-1D,Curved structure over motorway in spot I don’t know,SEARCHME
spot,DOT,1,synonym,yes,20260706-23D,Storehouse in spot holding record,DEPOT
st peter’s successor,POPE II,1,other,yes,20260703-2D,St Peter’s successor seemingly concealing maiden’s perilous location,POMPEII
stage,LEG,1,synonym,yes,20260724-16D,A certain stage not available to North Hollywood resident?,ANGELENO
start to suspect,S,1,other,no,20260714-27A,Start to suspect terrible setter’s extremely self-confident in examination,STRESSTEST
starter of lemon,L,1,other,no,20260629-5D,One potted starter of lemon sorbet ordered,LOBSTER
starts to intoxicate gamblers,IG,1,other,no,20260713-23D,"Smoke starts to intoxicate gamblers inside saloon, perhaps",CIGAR
state of unconsciousness,COMA,1,synonym,yes,20260723-17A,Much appreciated state of unconsciousness in US city,TACOMA
states,AVERS,1,synonym,yes,20260704-1D,Those who keep funding small states,SAVERS
steamship,SS,1,abbreviation,yes,20260704-11A,What navy did to recruit prior to steamship,PRESS
still,EVEN,1,synonym,yes,20260711-21D,Bottle still spinning overcomes resistance,NERVE
stint,BOUT,1,synonym,yes,20260701-21A,Brief stint to improve football club before unlimited team growth,BOUGAINVILLAEA
stitch,SEW,1,synonym,yes,20260723-1D,"Stitch up outside of top of breeches, where flies may get caught",WEBS
stock,TRITE,1,synonym,yes,20260713-7D,Type of salt regularly in oil and stock,NITRITE
stone,ST,1,abbreviation,yes,20260708-19D,Prominent story central to article set in stone,SALIENT
stone,ROCK,1,synonym,yes,20260715-10A,"Stone work in <i>The Wall</i>, say",ROCKOPERA
street,ST,1,abbreviation,yes,20260704-1A,Flash street dress,STROBE
string up,HANG,1,synonym,yes,20260718-14D,String up individual losing power and followers,HANGERSON
stroke,PAT,1,synonym,yes,20260711-1A,Inaccurate stroke perfected by repetition,OFFPAT
"stronger, mixed drink",SLING,1,synonym,yes,20260713-13A,"Wine periodically arrived with stronger, mixed drink",RIESLING
structure resisting great pressure,DAM,1,synonym,no,20260724-24D,Structure resisting great pressure from below cracked,MAD
studio,UD,1,other,yes,20260716-23D,Overturn cage in middle of studio,UPEND
study,READ,1,synonym,yes,20260708-9A,Open University study halved proposal,OVERTURE
stuff,CRAM,1,synonym,yes,20260706-12A,"Cleanser in middle of kitchen getting on with stuff, filled with energy",COLDCREAM
sudden upswing,SURGE,1,synonym,yes,20260718-25A,Flog company during sudden upswing,SCOURGE
sunbed,D,1,single-letter,yes,20260722-23D,I managed to grab sunbed in the end — and took it easy,IDLED
superb,ACE,1,synonym,yes,20260703-13A,"In rhyme, Peter periodically raves about superb peppers",PIPERACEAE
supply,SPL,1,other,yes,20260630-5D,Regularly supply wood for blaze,SPLASH
supported,BACKED,1,synonym,yes,20260702-1D,Astounded work supported kinky sex breaks,GOBSMACKED
supporter,BRA,1,synonym,yes,20260629-14A,Injure supporter in capital relocating northern star,MARLONBRANDO
supporter,FAN,1,synonym,yes,20260710-10A,Supporter cheers on popular princess,INFANTA
supporting,FOR,1,synonym,yes,20260723-24D,President supporting Democrat,FORD
surface of planet,P,1,other,yes,20260717-5A,Orbiter linked to Mars rovers on surface of planet,PHOBOS
surgical procedure,OP,1,abbreviation,yes,20260701-2D,Cheer TV doctor overseeing surgical procedure,WHOOP
surprise,ALARM,1,synonym,yes,20260715-9A,Lot of surprise about leader in tournament table,ALTAR
swaggers,STRUTS,1,synonym,yes,20260704-28A,Inspector swaggers bringing forward last suspect,DISTRUST
swanky,POSH,1,synonym,yes,20260629-22A,I’m obliged to enter swanky compound,POTASH
tale,STORY,1,synonym,yes,20260721-1A,"Minister, old man with tale that has no ending",PASTOR
tea,CHA,1,synonym,yes,20260718-19D,Bread with bit of butter I had after tea,CHAPATI
team,EA,1,other,yes,20260701-21A,Brief stint to improve football club before unlimited team growth,BOUGAINVILLAEA
team,SIDE,1,synonym,yes,20260707-8D,"Essential fact about English team, Reading perhaps",DESIDERATUM
temper,SOFTEN,1,synonym,yes,20260706-18A,European with jolly temper receiving love periodically,EVERYSOOFTEN
temperature,T,1,abbreviation,yes,20260716-26A,"Cold temperature on Scottish island, mostly fine",MULCT
tenancy,Y,1,other,yes,20260711-10A,Ramshackle home will not last for tenancy,SHANTY
tense,T,1,abbreviation,yes,20260701-20A,"Remained twisted, tense and obscene",DWELT
terrible,T,1,single-letter,yes,20260702-26A,"Two girls, terrible enemies at first, are a perfect fit for each other",TESSELLATE
terriers,TA,1,abbreviation,yes,20260707-5D,Terriers beset by obsessive behaviour in four pairs?,OCTAD
tesla,T,1,abbreviation,yes,20260713-11A,Follow Tesla alongside track,TRAIL
thanks,TA,1,abbreviation,yes,20260720-18D,"Thanks boyfriend, introducing beginning of love scene",TABLEAU
that is,IE,1,abbreviation,yes,20260701-4A,Vulgar scheme involves English bishop that is retiring,PLEBEIAN
that one’s left,GREEN,1,synonym,yes,20260714-22A,Where one might find Jack bragging about space that one’s left,CROWNGREEN
that’s sensitive,OW,1,other,yes,20260722-26A,Object that’s sensitive gift,ENDOW
the,THE,1,other,yes,20260629-13A,The US band with popular electronic instrument,THEREMIN
the,T,1,other,yes,20260703-10A,One who’s fetching display firstly selects the frames,SEXPOT
the day,D,1,abbreviation,yes,20260704-17D,Cannot stand getting left for the day singing,CANTABILE
the hair around it,RUFF,1,synonym,no,20260714-5D,"Part of the neck, namely the hair around it",SCRUFF
the most,MAX,1,abbreviation,yes,20260718-7D,"Physicist, the most significant one by a considerable margin",MAXWELL
the tube,TV,1,abbreviation,yes,20260710-2D,"Taking the Tube, run provided narrow path for divided area",RIFTVALLEY
theatre,REP,1,abbreviation,yes,20260718-17D,Theatre building’s top carpeting,REPROOF
theory,T,1,single-letter,yes,20260722-8A,"Star student, when is first in theory, receives prize like that",ASTROPHYSICIST
these,T,1,other,yes,20260715-1A,London borough was the formal source of these rocks,WALTHAMFOREST
this in ancient rome,HIC,1,foreign,no,20260629-15D,Very old one stupidly drunk on this in ancient Rome,NEOLITHIC
thriving,GROWING,1,synonym,yes,20260713-17A,Sport thriving from just after its inception,ROWING
thus,THUS,1,other,yes,20260704-23D,Protection thus denied to Agamemnon’s murderer,AEGIS
tie,TETHER,1,synonym,yes,20260711-11A,Censure own goal during tie to remain in league,STICKTOGETHER
time,AGE,1,synonym,yes,20260716-3D,Time to eat a very succulent growth,AGAVE
times,BY,1,other,yes,20260720-20A,She predicts crux of inside line on Times,SIBYL
tirade,RANT,1,synonym,yes,20260723-1A,Justify tirade backing conflict,WARRANT
title,MR,1,abbreviation,yes,20260703-22A,Bury doctor going after mentor stripped of title,ENTOMB
to,T,1,single-letter,yes,20260708-7D,Bend initially to leap in the air,CURVET
to enter,IN,1,synonym,yes,20260717-27A,Like to enter clubs wearing golf jacket,CASING
to launch,START,1,synonym,yes,20260708-26A,Most wanted performer to launch vessel,STARTURN
today,Y,1,other,yes,20260715-21A,Punishment area today finally covered in swirling raindrops,PRISONYARD
toilet,CAN,1,synonym,yes,20260714-16D,Weed in toilet and basin when drunk,CANNABIS
token,COUNTER,1,synonym,yes,20260713-1D,Token for trial demo (a responsive one),COUNTERPROTEST
tool,BIT,1,synonym,yes,20260707-19A,Tool secures device expelling content behind washer,BIDET
top,CAP,1,synonym,yes,20260713-14D,Artist’s work wins top prize at the end,LANDSCAPE
top player,COSTAR,1,synonym,yes,20260722-7D,Country’s top player first of all in cup appearance,COSTARICA
toss,SHY,1,synonym,yes,20260717-8D,Toss back short-tailed shark,SHYSTER
touch barely registered,KISS,1,synonym,yes,20260714-8A,Profound touch barely registered in act of passion,DEEPKISS
tournament,T,1,other,yes,20260715-9A,Lot of surprise about leader in tournament table,ALTAR
track,RAIL,1,synonym,yes,20260713-11A,Follow Tesla alongside track,TRAIL
training,PT,1,abbreviation,yes,20260717-23D,"Before training, call out underground cell",CRYPT
traitor ultimately,R,1,other,no,20260706-15D,"Not even unusual urge stops terrible liar, traitor ultimately",IRREGULAR
tree,FIR,1,synonym,yes,20260704-18D,Tree underpinned by serious immediate treatment,FIRSTAID
trench,SAP,1,synonym,yes,20260711-19A,Trench mortar on day one not going off as hoped,DISAPPOINTING
trendy,RIGHTON,1,synonym,yes,20260721-17D,Book on trendy resort,BRIGHTON
trial,TEST,1,synonym,yes,20260713-1D,Token for trial demo (a responsive one),COUNTERPROTEST
trick,CON,1,synonym,yes,20260710-9A,Trick question curtailed win,CONQUER
trouble,AIL,1,synonym,yes,20260711-17D,Trouble squeezing letters in for marginal note,APOSTIL
troubles,ILLS,1,synonym,yes,20260724-24A,Heavy load troubles European on motorway going around 100 mph,MILLSTONE
trump,T,1,other,yes,20260704-7D,What’s between programmes of Biden and Trump initially losing billions,IDENT
truncheon,COSH,1,synonym,yes,20260630-1A,Where policeman’s first introduced to truncheon work?,COPSHOP
tube,SLEEVE,1,synonym,yes,20260701-18A,Table designer’s almost repaired exposed tube,MENDELEEV
turn,GO,1,synonym,yes,20260706-22A,Piety in turn followed by rows between daughter and son,GODLINESS
tv doctor,WHO,1,other,yes,20260701-2D,Cheer TV doctor overseeing surgical procedure,WHOOP
two,II,1,roman,yes,20260710-27A,Made one female in two for wife of 25,UNIFIED
two girls,TESS ELLA,1,other,yes,20260702-26A,"Two girls, terrible enemies at first, are a perfect fit for each other",TESSELLATE
two-dimensional,FLAT,1,synonym,yes,20260710-3D,Treat as one or two-dimensional in 3D figure,CONFLATE
understood,GOT,1,synonym,yes,20260704-26A,American Republican understood what criminals may deliver,ARGOT
unfashionable,OUT,1,synonym,yes,20260706-8D,Start unfashionable group,OUTSET
uniform,U,1,nato,yes,20260716-17D,"With order of merit covering uniform, eat soup",CONSOMME
united,U,1,abbreviation,yes,20260629-23A,Last lieutenant stationed in United India and China,ULTIMATE
universal,UL,1,other,yes,20260715-5D,Limits to Universal blocking movie award regarding kissing,OSCULAR
university,OU,1,abbreviation,yes,20260702-3A,"Taken aback, coughed up Chinese university society fine",DIAPHANOUS
university,EDUCATED,1,synonym,yes,20260715-26A,Visitors from university presumably having no time for reasonable supposition,EDUCATEDGUESS
unknown,X,1,single-letter,yes,20260718-10A,Easygoing unknown replacing another in broadcast,RELAXED
unorthodoxy,HERESY,1,synonym,yes,20260715-3D,A fight to interrupt reduction in unorthodoxy in this area,HEREABOUTS
unsound,BAD,1,synonym,yes,20260701-6D,Unsound victory buries Liberal prime minister,BALDWIN
untruth,LIE,1,synonym,yes,20260629-8D,Expose US Navy periodically spinning untruth,UNVEIL
us band,REM,1,other,yes,20260629-13A,The US band with popular electronic instrument,THEREMIN
us school subject,MATH,1,synonym,yes,20260629-21D,Duplicate chapter covered by US school subject,MATCH
valerie,VAL,1,abbreviation,yes,20260710-12A,Fall with Valerie for Singleton’s first procession,CAVALCADE
valiant,GAME,1,synonym,yes,20260629-6D,Valiant maiden shortly embraces warrior king,AGAMEMNON
variable,Z,1,single-letter,yes,20260722-1A,A variable in diagram minus one — is square,PLAZA
vehicle,VAN,1,synonym,yes,20260701-15D,City in which you must be protected by vehicle insurance,VANCOUVER
vehicle,TRAM,1,synonym,yes,20260715-4D,More than half of soccer team aboard vehicle upset left-winger,MARXIST
vehicle,QUAD,1,synonym,yes,20260717-1A,Vehicle marking cops?,SQUADCAR
vehicle,CAR,1,synonym,yes,20260718-18A,"Very big vehicle, coveted model of stars",OSCAR
verse,V,1,abbreviation,yes,20260717-10A,Description of verse could be focus of Mass,CENTREOFGRAVITY
very big,OS,1,abbreviation,yes,20260718-18A,"Very big vehicle, coveted model of stars",OSCAR
very large,OS,1,abbreviation,yes,20260702-5D,Extra payment put up to secure very large venture,POSIT
very spacious,AMPLE,1,synonym,yes,20260703-5D,Harry wanting very spacious case,EXAMPLE
vessel,URN,1,synonym,yes,20260708-26A,Most wanted performer to launch vessel,STARTURN
vicar,REV,1,abbreviation,yes,20260720-14D,Went back to see vicar I established in position,REVISITED
vineyard’s,CRU,1,foreign,yes,20260716-18A,"English vineyard’s white, a bit off",ECRU
vision,SIGHT,1,synonym,yes,20260706-1A,Locate vision in speech,SITE
visitor to oz,TOTO,1,other,yes,20260713-20D,Visitor to Oz touring river close to city,TORONTO
visitors,GUESTS,1,synonym,yes,20260715-26A,Visitors from university presumably having no time for reasonable supposition,EDUCATEDGUESS
volunteer,VOL,1,abbreviation,yes,20260718-26A,Potential hazard to life volunteer is able to duck,VOLCANO
warm,HEATED,1,synonym,yes,20260630-22A,"Easily touched, offer last of our warm blankets",TENDERHEARTED
was,LIVED,1,synonym,yes,20260718-22D,Former barrister’s assistant was on the way up,DEVIL
way of working,MO,1,abbreviation,yes,20260715-19A,Beset by anxiety about way of working,AMONGST
week,W,1,abbreviation,yes,20260711-23A,"Festival key in India, taking short week",DIWALI
welcome,HELLO,1,synonym,yes,20260714-26A,Dreadful place cut short welcome,HELL
well,FINE,1,synonym,yes,20260704-14A,Not entirely well after reverse of healthy snack,TIFFIN
western,W,1,single-letter,yes,20260711-12A,"Cycling round Lewis, see western one?",ISLE
what,EH,1,synonym,yes,20260703-22D,Animated boy discharging bomb finally cuts what wire?,EARTH
what might be maple,TREE,1,synonym,no,20260704-16A,Note chlorine in what might be maple syrup,TREACLE
where couples survived,ARK,1,other,yes,20260723-16D,Part of USA where couples survived an elite fighting force,ARKANSAS
while,AS,1,synonym,yes,20260706-9A,"While around river, one encountered retiring goddess",ARTEMIS
whisky,FIREWATER,1,synonym,yes,20260704-15D,Whisky changes heart for English person that’s aggressive,FIREEATER
wildly enthusiastic,MAD,1,synonym,yes,20260716-2D,Wildly enthusiastic about new libertine one found in bed,MANDRAKE
will not,SHANT,1,synonym,yes,20260711-10A,Ramshackle home will not last for tenancy,SHANTY
wind,GALE,1,synonym,yes,20260630-2D,Wind getting up in film of the ocean,PELAGIC
wins,LANDS,1,synonym,yes,20260713-14D,Artist’s work wins top prize at the end,LANDSCAPE
witch-hunt,PURGE,1,synonym,yes,20260703-16A,Witch-hunt brushing aside quiet advocate,URGE
with,W,1,abbreviation,yes,20260710-22D,Unionist who might make sparks fly with senior adviser,WELDER
witness statement,DEPOSITION,1,synonym,yes,20260721-14A,Corruption of company manager’s first seen in witness statement,DECOMPOSITION
wood,ASH,1,synonym,yes,20260630-5D,Regularly supply wood for blaze,SPLASH
wood,FIR,1,synonym,yes,20260717-20D,Wood slab propped up in hearthside glow,FIRELIT
work,OP,1,abbreviation,yes,20260630-1A,Where policeman’s first introduced to truncheon work?,COPSHOP
work,GO,1,synonym,yes,20260702-1D,Astounded work supported kinky sex breaks,GOBSMACKED
work,OPERA,1,synonym,yes,20260715-10A,"Stone work in <i>The Wall</i>, say",ROCKOPERA
world,D,1,single-letter,yes,20260721-9D,Reveal end of world is nigh,DISCLOSE
wound,REELED,1,synonym,yes,20260703-26A,"Hard drug injected in wound made good, at last?",REHEELED
writer’s,IVE,1,other,yes,20260708-12A,Lead character in Greek writer’s play,GIVE
year,Y,1,abbreviation,yes,20260716-12A,"School music award missing year, a choir’s last",GRAMMAR
years,Y,1,abbreviation,yes,20260715-20A,Considerable time — one day? Years,TIDY
you finally,U,1,single-letter,no,20260724-21A,Woolly you finally gave back after cycling,VAGUE
you shouldn’t have,TA,1,other,yes,20260716-24D,"Crew, you shouldn’t have giant fish",MANTA
youngster,CUB,1,synonym,yes,20260630-1D,Youngster on American island,CUBA
youth groups,YG,1,other,yes,20260710-6D,Order having the benefit of ignoring leaders of youth groups,ENJOIN
